Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-11-18T00:00:00.0/2008-11-19T00:00:00.0;11498.3027;9616.3145;8892.9668;723.3472;12814.9219;8601.2656;6541.5796;2059.6853;8311.5879;0.9872
2008-11-19T00:00:00.0/2008-11-20T00:00:00.0;11515.9365;9562.6016;8698.6328;863.9692;12442.4893;7189.4219;3323.4478;3865.9741;4456.3779;0.9823
2008-11-20T00:00:00.0/2008-11-21T00:00:00.0;11533.0439;9543.9951;8544.2529;999.7418;12152.4346;5471.2559;1486.6278;3984.6282;2038.9294;0.9868
2008-11-21T00:00:00.0/2008-11-22T00:00:00.0;11549.5498;9400.4834;7976.1689;1424.3142;11062.9736;6561.4976;3684.2053;2877.292;4019.4451;0.9868
2008-11-22T00:00:00.0/2008-11-23T00:00:00.0;11565.5732;9511.6357;8229.1357;1282.5004;11560.0547;7065.8052;4539.0571;2526.748;5528.5537;0.9865
2008-11-23T00:00:00.0/2008-11-24T00:00:00.0;11581.0986;9727.6895;8915.9043;811.7859;12790.9434;8463.1094;6649.1543;1813.9548;8056.0835;0.9861
2008-11-24T00:00:00.0/2008-11-25T00:00:00.0;11595.9873;9488.3828;8142.3403;1346.042;11365.708;5546.6846;2067.5386;3479.1458;2334.4553;0.9858
2008-11-25T00:00:00.0/2008-11-26T00:00:00.0;11610.4082;9461.6953;8271.3926;1190.3036;11706.6367;5702.938;2338.0491;3364.8889;2865.4199;0.9854
2008-11-26T00:00:00.0/2008-11-27T00:00:00.0;11624.293;9645.04;8731.8721;913.1681;12514.1758;6404.1655;3429.311;2974.8545;5016.728;0.9851
2008-11-27T00:00:00.0/2008-11-28T00:00:00.0;11637.6396;9628.2139;8756.1963;872.0181;12580.1328;6834.2256;3860.4048;2973.8206;5019.0552;0.9847
2008-11-28T00:00:00.0/2008-11-29T00:00:00.0;11650.4404;9566.6777;8216.6006;1350.0775;11553.7539;6285.6206;2755.0669;3530.554;3648.239;0.9847
