Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2016-07-01T00:00:00.0/2016-08-01T00:00:00.0;206913.9375;146748.5625;117923.0391;28825.5156;217934.2031;101243.9844;59452.4805;41791.5039;107360.7109;0.9814
2016-08-01T00:00:00.0/2016-09-01T00:00:00.0;241708.9688;164648.7344;120151.8594;44496.8711;196041.0938;138909.4688;92838.6094;46070.8633;150426;0.9822
2016-09-01T00:00:00.0/2016-10-01T00:00:00.0;277629.7188;192820.6875;144066.3594;48754.3281;212997.1875;150493.4688;88374.5625;62118.9141;130652.5625;0.9767
2016-10-01T00:00:00.0/2016-11-01T00:00:00.0;327671.9688;231926.7812;181549.2031;50377.582;251611.125;168228.6094;91379.1406;76849.4688;123556.9766;0.9694
2016-11-01T00:00:00.0/2016-12-01T00:00:00.0;342958.4062;245964.9688;195311.5938;50653.3711;265857;182534.4062;110383.2109;72151.1953;146867;0.9702
2016-12-01T00:00:00.0/2017-01-01T00:00:00.0;365189.7188;264969.7188;220854.3594;44115.3633;304212.25;207371.4219;135129.1406;72242.2891;184856.3281;0.9709
2017-01-01T00:00:00.0/2017-02-01T00:00:00.0;361399.0938;264010.3438;225114.4219;38895.9219;312501.5312;215350.375;141840.6562;73509.7188;200043.0781;0.9704
2017-02-01T00:00:00.0/2017-03-01T00:00:00.0;309038.625;223009.1719;185387.0938;37622.0781;258178.875;156557;81148.0391;75408.9609;113958.9297;0.9712
2017-03-01T00:00:00.0/2017-04-01T00:00:00.0;306226.6875;219436;181917.5;37518.4961;265849.4062;139300.9375;67381.8672;71919.0703;100966.5859;0.9757
2017-04-01T00:00:00.0/2017-05-01T00:00:00.0;250982.9062;180099.2969;149503.9531;30595.3457;241414.7031;86809.5312;35472.6523;51336.8828;59974.3594;0.982
2017-05-01T00:00:00.0/2017-06-01T00:00:00.0;217794.3906;154209.0156;125951.9375;28257.0801;226690.2031;58430.2148;19662.2598;38767.9531;33527.4336;0.9837
2017-06-01T00:00:00.0/2017-07-01T00:00:00.0;191127.375;138090.5938;115999.0625;22091.5312;225189.3281;91229.2891;61146.0938;30083.1953;118450.5781;0.9835
2017-07-01T00:00:00.0/2017-08-01T00:00:00.0;206728.625;149179.5469;123285.8203;25893.7363;229815.8438;114159.0625;80835.0234;33324.043;147423.5312;0.9824
2017-08-01T00:00:00.0/2017-09-01T00:00:00.0;241373.8906;171451.9219;135592.2656;35859.6523;224793.7031;144950.3594;99763.9453;45186.4102;166273;0.9817
2017-09-01T00:00:00.0/2017-10-01T00:00:00.0;277282.7188;180073.5938;122110.7734;57962.8242;176642.2656;133168.6094;63219.125;69949.4766;91026.6172;0.9763
2017-10-01T00:00:00.0/2017-11-01T00:00:00.0;327395.3438;233728.1562;186691.2188;47036.9414;259834.7969;163836.0781;87082.9844;76753.1016;119439.0938;0.9714
2017-11-01T00:00:00.0/2017-12-01T00:00:00.0;342814.5312;247113.0312;200972.625;46140.418;275244.75;182985.5625;106887.0703;76098.4844;144191.2812;0.9699
2017-12-01T00:00:00.0/2018-01-01T00:00:00.0;365160.2812;261591.3125;213399.8594;48191.4414;291336;196408.7188;109305.5156;87103.2031;147914.5469;0.9736
2018-01-01T00:00:00.0/2018-02-01T00:00:00.0;361491.4375;261457.5156;217920.375;43537.1406;298972.7812;184246.5;97432.9844;86813.5156;135289.0312;0.9614
2018-02-01T00:00:00.0/2018-03-01T00:00:00.0;309248.5625;224276.125;186791.9844;37484.1523;260232.7969;176146.8125;117597.3594;58549.4531;162182.2812;0.9697
2018-03-01T00:00:00.0/2018-04-01T00:00:00.0;306579.8438;219236.7031;179109.6562;40127.0508;260887.5156;135358.2031;58870.9297;76487.2734;90732.5547;0.9743
2018-04-01T00:00:00.0/2018-05-01T00:00:00.0;251349.3125;179947.9844;148501.6406;31446.3477;239154.9844;144137.8594;95397.3516;48740.5156;157681.1562;0.9819
2018-05-01T00:00:00.0/2018-06-01T00:00:00.0;218058.9062;155128.7656;126317.7188;28811.0488;227266.5781;103329.6016;64796.75;38532.8477;115811.7812;0.9827
2018-06-01T00:00:00.0/2018-07-01T00:00:00.0;191171.9531;137113.8906;111917.1953;25196.6875;215440.3125;86649.6953;43324.2578;43325.4336;81442.9531;0.9842
2018-07-01T00:00:00.0/2018-08-01T00:00:00.0;206543.4062;148877.4062;122897.4609;25979.9414;229096.0625;80375.875;34934.9102;45440.9648;63141.082;0.982
2018-08-01T00:00:00.0/2018-09-01T00:00:00.0;241036.1562;175247.3906;143031.9688;32215.4199;239292.7969;132258.4844;87032.9375;45225.5508;145440.9688;0.982
2018-09-01T00:00:00.0/2018-10-01T00:00:00.0;276930.5625;193672.9219;148380.7344;45292.1797;221067.0625;158760.875;103471.5781;55289.293;156422.0469;0.9756
