# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2008-10-30T00:00:00.0
# Date end (ISO 8601): 2023-11-01T00:00:00.0
# Latitude (positive North, ISO 19115): -32.7259
# Longitude (positive East, ISO 19115): -60.6638
# Altitude (m): 10.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2023-12-12
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-12-04T00:00:00.0/2008-12-05T00:00:00.0;12082.4355;9288.7510;8289.9268;998.8243;12049.3887;8724.1846;7078.1919;1645.9930;8880.4824;0.9837
2008-12-05T00:00:00.0/2008-12-06T00:00:00.0;12099.9980;9222.9014;8162.1870;1060.7146;11797.5488;8976.0469;7766.6689;1209.3777;10356.3213;0.9830
2008-12-06T00:00:00.0/2008-12-07T00:00:00.0;12116.6035;9067.2412;7986.4780;1080.7627;11502.1963;6782.9966;3423.4651;3359.5312;4378.7920;0.9826
2008-12-07T00:00:00.0/2008-12-08T00:00:00.0;12132.2041;9009.3174;7890.5195;1118.7975;11370.4180;7923.1660;6015.8638;1907.3024;7454.6514;0.9826
2008-12-08T00:00:00.0/2008-12-09T00:00:00.0;12146.8564;9004.2568;7782.3604;1221.8964;11033.6992;8092.8618;6251.5977;1841.2640;7764.3394;0.9563
2008-12-09T00:00:00.0/2008-12-10T00:00:00.0;12160.5771;8201.0508;5768.8037;2432.2468;7851.0537;2497.6094;575.9418;1921.6675;1084.2615;0.9823
2008-12-10T00:00:00.0/2008-12-11T00:00:00.0;12173.3213;8603.8887;6780.4692;1823.4196;9367.7373;4059.3284;771.3610;3287.9675;1359.7700;0.9819
2008-12-11T00:00:00.0/2008-12-12T00:00:00.0;12185.0566;8937.3184;7352.5571;1584.7617;10286.4766;7636.5405;4663.0039;2973.5366;6278.8389;0.9819
2008-12-12T00:00:00.0/2008-12-13T00:00:00.0;12195.8564;9041.0732;7598.5991;1442.4739;10786.3926;7877.2656;4765.2422;3112.0234;6097.4556;0.9816
2008-12-13T00:00:00.0/2008-12-14T00:00:00.0;12205.6357;8949.8838;7588.0039;1361.8801;10729.2070;7192.9150;3686.5767;3506.3384;4889.7637;0.9819
2008-12-14T00:00:00.0/2008-12-15T00:00:00.0;12214.4336;8986.9434;7680.5889;1306.3546;10924.9238;8525.0957;6539.6860;1985.4094;8943.2529;0.9816
2008-12-15T00:00:00.0/2008-12-16T00:00:00.0;12222.3037;9215.0869;8241.0020;974.0850;11931.4805;9140.2031;8104.5474;1035.6558;11481.5020;0.9816
2008-12-16T00:00:00.0/2008-12-17T00:00:00.0;12229.1221;9372.9453;8471.4902;901.4548;12343.5410;9319.6279;8373.3115;946.3163;12019.2754;0.9708
2008-12-17T00:00:00.0/2008-12-18T00:00:00.0;12234.9922;9315.0186;8349.8613;965.1569;12065.3555;7964.8330;5478.9517;2485.8813;7726.7749;0.9816
2008-12-18T00:00:00.0/2008-12-19T00:00:00.0;12239.8838;9159.8896;8061.2822;1098.6071;11554.9453;8576.6660;6395.2368;2181.4290;9030.0488;0.9809
2008-12-19T00:00:00.0/2008-12-20T00:00:00.0;12243.7256;9125.0938;8094.3120;1030.7817;11581.2910;4841.2441;1496.9893;3344.2549;2017.0197;0.9816
2008-12-20T00:00:00.0/2008-12-21T00:00:00.0;12246.6436;9108.5059;7918.2505;1190.2554;11310.1240;9108.5059;7918.2505;1190.2554;11310.1221;0.9809
2008-12-21T00:00:00.0/2008-12-22T00:00:00.0;12248.4971;8569.7822;6635.1128;1934.6694;9266.1602;1666.5581;49.3566;1617.2015;242.0580;0.9816
2008-12-22T00:00:00.0/2008-12-23T00:00:00.0;12249.4307;8793.8447;6989.1299;1804.7148;9715.2139;6996.7139;4204.2480;2792.4661;4932.7017;0.9809
2008-12-23T00:00:00.0/2008-12-24T00:00:00.0;12249.2979;8918.3096;7563.8853;1354.4248;10711.6064;3631.8435;526.9833;3104.8601;914.6233;0.9816
2008-12-24T00:00:00.0/2008-12-25T00:00:00.0;12248.2334;9413.4883;8402.0303;1011.4584;12178.9863;9378.2510;8338.9277;1039.3231;11942.0820;0.9809
2008-12-25T00:00:00.0/2008-12-26T00:00:00.0;12246.1152;9216.8047;8055.2510;1161.5535;11574.0156;8994.7549;7595.3208;1399.4342;10220.0176;0.9816
2008-12-26T00:00:00.0/2008-12-27T00:00:00.0;12243.0039;9262.1338;8199.4307;1062.7031;11772.7812;8826.1846;7157.2046;1668.9806;9683.4443;0.9812
2008-12-27T00:00:00.0/2008-12-28T00:00:00.0;12238.9385;9010.3701;7747.1851;1263.1854;10937.2021;5667.2319;1834.5430;3832.6892;2747.2539;0.9764
2008-12-28T00:00:00.0/2008-12-29T00:00:00.0;12233.8047;9064.7822;7677.6724;1387.1094;10955.3994;5738.5845;1836.3778;3902.2068;3491.7625;0.9816
2008-12-29T00:00:00.0/2008-12-30T00:00:00.0;12227.7188;9341.3604;8150.2021;1191.1583;11711.4961;9130.1240;7770.0103;1360.1134;10442.7627;0.9819
2008-12-30T00:00:00.0/2008-12-31T00:00:00.0;12220.6377;9290.7715;8182.3350;1108.4369;11805.0811;8706.7832;6603.5728;2103.2102;9131.7812;0.9816
2008-12-31T00:00:00.0/2009-01-01T00:00:00.0;12212.5254;9001.9619;7673.1587;1328.8033;10915.9600;2120.3521;54.1467;2066.2053;317.9830;0.9819
2009-01-01T00:00:00.0/2009-01-02T00:00:00.0;12203.3965;8846.0723;7009.8193;1836.2534;9767.7148;1847.9048;40.1414;1807.7634;251.2004;0.9823
2009-01-02T00:00:00.0/2009-01-03T00:00:00.0;12193.3232;8999.5225;7330.1172;1669.4056;10330.8887;3223.3989;218.0931;3005.3057;620.9194;0.9819
2009-01-03T00:00:00.0/2009-01-04T00:00:00.0;12182.2119;9477.1826;8484.2451;992.9377;12317.3848;9361.3818;8176.4429;1184.9388;11702.3418;0.9826
2009-01-04T00:00:00.0/2009-01-05T00:00:00.0;12170.1416;9467.2861;8540.1221;927.1637;12466.1260;9435.7285;8478.9590;956.7697;12303.6611;0.9823
2009-01-05T00:00:00.0/2009-01-06T00:00:00.0;12157.0391;9425.1064;8555.4170;869.6894;12516.5664;9348.1523;8406.8213;941.3307;12119.1855;0.9830
